x,y,z,region
-71.000000,1.480000,-3.100000,1
-68.400002,9.980000,-3.100000,1
-68.900002,12.880000,-8.600000,1
-58.986012,21.497665,-8.155655,1
-66.099998,44.380001,-10.600000,1
-42.700001,69.180000,-10.600000,1
24.200001,23.379999,-4.300000,1
39.299999,23.379999,-4.300000,1
22.200001,14.680000,-13.600000,1
36.599998,14.680000,-13.600000,1
-24.400000,98.480003,-8.100000,1
-24.400000,107.980003,-8.100000,1
-24.400000,148.479996,-8.100000,1
2.600000,148.479996,-8.100000,1
17.200001,136.580002,-8.100000,1
77.900002,133.479996,-8.100000,1
102.000000,98.580002,-8.100000,1
100.199997,66.279999,-8.100000,1
104.500000,77.980003,-8.100000,1
126.000000,77.980003,-8.100000,1
82.300003,77.980003,-8.100000,1
55.400002,77.980003,-8.100000,1
105.400002,-25.320000,-8.100000,1
105.400002,-52.119999,-8.100000,1
88.199997,-82.120003,-7.200000,2
88.199997,-82.120003,-7.200000,2
88.199997,-107.720001,-7.200000,2
88.199997,-99.019997,-7.200000,2
102.000000,-99.019997,-7.200000,2
102.000000,-86.220001,-7.200000,2
102.000000,-81.820000,-7.200000,2
83.699997,-113.120003,-7.200000,2
83.699997,-113.120003,-12.900000,2
92.900002,-113.120003,-12.900000,2
92.900002,-100.120003,-12.900000,2
92.900002,-86.720001,-12.900000,2
86.599998,-86.720001,-12.900000,2
97.900002,-86.720001,-12.900000,2
107.199997,-86.720001,-12.900000,2
107.199997,-77.720001,-12.900000,2
107.199997,-99.820000,-12.900000,2
107.199997,-99.820000,-18.100000,2
100.900002,-99.820000,-18.100000,2
100.900002,-93.220001,-18.100000,2
100.900002,-88.820000,-18.100000,2
105.500000,-88.820000,-18.100000,2
108.199997,-88.820000,-18.100000,2
109.500000,-81.820000,-18.100000,2
-50.400002,83.180000,-10.000000,3
-29.900000,104.480003,-10.000000,3
-17.600000,96.480003,-10.000000,3
18.200001,87.779999,-10.000000,3
21.400000,95.080002,-10.000000,3
54.500000,81.080002,-10.000000,3
75.599998,80.879997,-10.000000,3
100.500000,107.480003,-10.000000,3
123.099998,80.580002,-10.000000,3
105.500000,59.680000,-10.000000,3
100.099998,20.680000,-15.000000,3
119.900002,-7.420000,-15.000000,3
107.000000,-94.019997,-15.000000,3
63.400002,-149.320007,-15.000000,3
-32.799999,2.680000,-16.500000,3
-11.400000,-24.820000,-16.500000,3
-8.500000,-60.220001,-16.500000,3
13.700000,-81.419998,-16.500000,3
11.600000,-108.320000,-16.500000,3
-3.000000,-87.519997,-16.500000,3
-68.000000,13.380000,-15.000000,3
-64.300003,39.279999,-17.299999,3
-53.000000,60.180000,-17.299999,3
-75.599998,52.180000,-17.299999,3
-77.063309,56.368591,-4.152781,4
-61.047096,50.518517,-6.997466,4
-58.747097,40.818516,-6.997466,4
-54.247097,29.518517,-5.997466,4
-52.947098,29.718515,-3.897466,4
-62.247097,13.618516,-3.897466,4
-64.847099,4.218516,-3.897466,4
-37.447098,-1.481484,-3.897466,4
-12.547097,-13.081484,-3.097466,4
-11.247097,-24.881483,-3.097466,4
-10.647097,-26.881483,-3.097466,4
-11.247097,-45.481483,-3.097466,4
-10.847096,-69.081482,-3.097466,4
-17.047096,-87.181480,-3.097466,4
-18.047096,-88.481483,-3.097466,4
-38.047096,-84.281487,-3.097466,4
-63.547096,-100.881485,-3.597466,4
-78.147095,-99.281487,-3.597466,4
-75.447098,-45.081486,-7.397466,4
-75.147095,-36.481483,-7.397466,4
-75.347099,-21.181484,-3.097466,4
-66.847099,-0.881484,-3.097466,4
-70.647095,7.218516,-3.097466,4
-49.047096,9.518517,-3.897466,4
